Month,Peak,Average
December 2023,10415,4365.0
November 2023,14467,4935.0
October 2023,3606,1784.0
September 2023,7136,2652.0
August 2023,4415,2129.0
July 2023,8745,4099.0
June 2023,6258,2144.0
May 2023,5907,2573.0
April 2023,7956,3140.0
March 2023,11542,5639.0
February 2023,3475,1567.0
January 2023,8388,3456.0
December 2022,7532,3208.0
November 2022,497,213.0
October 2022,710,282.0
September 2022,824,-
August 2022,435,-
July 2022,443,-
June 2022,553,-
May 2022,1009,-
April 2022,1171,-
March 2022,496,-
February 2022,579,-
January 2022,611,-
December 2021,584,-
November 2021,532,-
October 2021,666,-
September 2021,1038,-
August 2021,868,-
July 2021,475,-
June 2021,788,-
May 2021,809,-
April 2021,715,-
March 2021,1002,-
February 2021,1141,-
January 2021,689,-
December 2020,755,-
November 2020,1696,-
October 2020,2117,-
September 2020,500,-
August 2020,554,-
July 2020,597,-
June 2020,1039,-
May 2020,866,-
April 2020,1272,-
March 2020,1664,-
February 2020,768,-
January 2020,1060,-
December 2019,1363,-
