Month,Peak,Average
December 2023,349229,144434.0
November 2023,439844,166883.0
October 2023,435229,181377.0
September 2023,454151,186739.0
August 2023,452006,188503.0
July 2023,351165,165798.0
June 2023,452616,188860.0
May 2023,585958,227542.0
April 2023,565085,222642.0
March 2023,605171,255062.0
February 2023,624473,256887.0
January 2023,413896,197578.0
December 2022,412961,170562.0
November 2022,405728,172823.0
October 2022,387748,171869.0
September 2022,499077,-
August 2022,511676,-
July 2022,348415,-
June 2022,353279,-
May 2022,412556,-
April 2022,376328,-
March 2022,354951,-
February 2022,393116,-
January 2022,265202,-
December 2021,245789,-
November 2021,318330,-
October 2021,252135,-
September 2021,275617,-
August 2021,330509,-
July 2021,262535,-
June 2021,266609,-
May 2021,330879,-
April 2021,220537,-
March 2021,228948,-
February 2021,198235,-
January 2021,130490,-
December 2020,113382,-
