Month,Peak,Average
December 2023,50614,31225.0
November 2023,58019,32563.0
October 2023,61298,31139.0
September 2023,49919,30132.0
August 2023,56526,35969.0
July 2023,67924,41047.0
June 2023,87771,40038.0
May 2023,47453,30760.0
April 2023,46516,30074.0
March 2023,55958,32845.0
February 2023,48572,32114.0
January 2023,51840,33543.0
December 2022,46734,32614.0
November 2022,56214,33667.0
October 2022,67598,37998.0
September 2022,66133,-
August 2022,70183,-
July 2022,68354,-
June 2022,96580,-
May 2022,52477,-
April 2022,48031,-
March 2022,54039,-
February 2022,52853,-
January 2022,62413,-
December 2021,74197,-
November 2021,77023,-
October 2021,100687,-
September 2021,82672,-
August 2021,75711,-
July 2021,96827,-
June 2021,105093,-
May 2021,88001,-
April 2021,55608,-
March 2021,56716,-
February 2021,52464,-
January 2021,53707,-
December 2020,54690,-
