Month,Peak,Average
December 2023,58526,29315.0
November 2023,58975,27103.0
October 2023,69754,26160.0
September 2023,50408,22501.0
August 2023,50814,25003.0
July 2023,44025,24711.0
June 2023,41557,20810.0
May 2023,50642,22761.0
April 2023,49371,23713.0
March 2023,46522,21344.0
February 2023,48558,22182.0
January 2023,55293,25370.0
December 2022,49026,22833.0
November 2022,45613,20862.0
October 2022,45544,20810.0
September 2022,48022,-
August 2022,39128,-
July 2022,38225,-
June 2022,38577,-
May 2022,40295,-
April 2022,50637,-
March 2022,47980,-
February 2022,50156,-
January 2022,56897,-
December 2021,49474,-
November 2021,51273,-
October 2021,48882,-
September 2021,43932,-
August 2021,38325,-
July 2021,42747,-
June 2021,41636,-
May 2021,48792,-
April 2021,60084,-
March 2021,47214,-
February 2021,51970,-
January 2021,51480,-
December 2020,53960,-
