Month,Peak,Average
December 2023,2470,922.0
November 2023,2088,898.0
October 2023,6051,1188.0
September 2023,2125,821.0
August 2023,2143,911.0
July 2023,2423,1013.0
June 2023,2081,877.0
May 2023,2629,994.0
April 2023,8379,1304.0
March 2023,6204,925.0
February 2023,2230,843.0
January 2023,2595,1080.0
December 2022,2613,1031.0
November 2022,1961,841.0
October 2022,2498,872.0
September 2022,15852,-
August 2022,2842,-
July 2022,2892,-
June 2022,2808,-
May 2022,2970,-
April 2022,3192,-
March 2022,3481,-
February 2022,15236,-
January 2022,4200,-
December 2021,3633,-
November 2021,2697,-
October 2021,1759,-
September 2021,2671,-
August 2021,20750,-
July 2021,20320,-
June 2021,2113,-
May 2021,2749,-
April 2021,3250,-
March 2021,2762,-
February 2021,2809,-
January 2021,3549,-
December 2020,3104,-
