Month,Peak,Average
December 2023,110,16.0
November 2023,37,12.0
October 2023,36,10.0
September 2023,95,18.0
August 2023,79,13.0
July 2023,46,14.0
June 2023,40,11.0
May 2023,37,10.0
April 2023,39,13.0
March 2023,43,13.0
February 2023,38,13.0
January 2023,45,14.0
December 2022,45,13.0
November 2022,48,13.0
October 2022,33,9.0
September 2022,47,-
August 2022,44,-
July 2022,66,-
June 2022,62,-
May 2022,65,-
April 2022,53,-
March 2022,58,-
February 2022,57,-
January 2022,72,-
December 2021,54,-
November 2021,40,-
October 2021,34,-
September 2021,67,-
August 2021,65,-
July 2021,65,-
June 2021,29,-
May 2021,24,-
April 2021,19,-
March 2021,30,-
February 2021,22,-
January 2021,24,-
December 2020,23,-
