Month,Peak,Average
December 2023,1051,240.0
November 2023,542,173.0
October 2023,337,116.0
September 2023,541,168.0
August 2023,855,249.0
July 2023,729,261.0
June 2023,455,131.0
May 2023,877,225.0
April 2023,466,163.0
March 2023,1543,360.0
February 2023,505,153.0
January 2023,467,177.0
December 2022,494,176.0
November 2022,792,169.0
October 2022,273,96.0
September 2022,275,-
August 2022,326,-
July 2022,692,-
June 2022,604,-
May 2022,370,-
April 2022,369,-
March 2022,973,-
February 2022,700,-
January 2022,1707,-
December 2021,1513,-
November 2021,850,-
October 2021,242,-
September 2021,341,-
August 2021,803,-
July 2021,597,-
June 2021,691,-
May 2021,338,-
April 2021,555,-
March 2021,1359,-
