Month,Peak,Average
December 2023,35527,16648.0
November 2023,38639,19032.0
October 2023,48922,21157.0
September 2023,48157,23044.0
August 2023,86219,27476.0
July 2023,23374,14743.0
June 2023,18907,11421.0
May 2023,20886,10809.0
April 2023,26228,12371.0
March 2023,24610,12289.0
February 2023,23744,11410.0
January 2023,28982,14542.0
December 2022,26427,13143.0
November 2022,31709,12588.0
October 2022,41069,16614.0
September 2022,56305,-
August 2022,22696,-
July 2022,24974,-
June 2022,33956,-
May 2022,22897,-
April 2022,25705,-
March 2022,20647,-
February 2022,26053,-
January 2022,37326,-
December 2021,45872,-
November 2021,51442,-
October 2021,69964,-
September 2021,44048,-
August 2021,62448,-
July 2021,19723,-
June 2021,23206,-
May 2021,21975,-
April 2021,23475,-
March 2021,26806,-
February 2021,30176,-
January 2021,42729,-
December 2020,45835,-
