Month,Peak,Average
December 2023,8098,1548.0
November 2023,6463,1248.0
October 2023,3851,1113.0
September 2023,4212,1303.0
August 2023,3586,1294.0
July 2023,8541,2224.0
June 2023,5945,1348.0
May 2023,4032,1270.0
April 2023,4256,1449.0
March 2023,4618,1449.0
February 2023,4034,1524.0
January 2023,14216,2422.0
December 2022,20957,2305.0
November 2022,4632,1246.0
October 2022,4356,1196.0
September 2022,5132,-
August 2022,4010,-
July 2022,7819,-
June 2022,7456,-
May 2022,6064,-
April 2022,6170,-
March 2022,5549,-
February 2022,5125,-
January 2022,8486,-
December 2021,9068,-
November 2021,2558,-
October 2021,4495,-
September 2021,2674,-
August 2021,3025,-
July 2021,6755,-
June 2021,6454,-
May 2021,5548,-
April 2021,9755,-
March 2021,4064,-
February 2021,5165,-
January 2021,7286,-
December 2020,7610,-
