Month,Peak,Average
December 2023,62306,42005.0
November 2023,59951,36728.0
October 2023,94965,52157.0
September 2023,95149,58749.0
August 2023,84760,51761.0
July 2023,71046,49313.0
June 2023,68586,45260.0
May 2023,66908,40213.0
April 2023,79404,45712.0
March 2023,88504,49845.0
February 2023,65006,41537.0
January 2023,67090,43568.0
December 2022,64310,38835.0
November 2022,46283,23504.0
October 2022,54972,28201.0
September 2022,66588,-
August 2022,62508,-
July 2022,64957,-
June 2022,71005,-
May 2022,74472,-
April 2022,93674,-
March 2022,109487,-
February 2022,78263,-
January 2022,75214,-
December 2021,84396,-
November 2021,71607,-
October 2021,80679,-
September 2021,111638,-
August 2021,93643,-
July 2021,90538,-
June 2021,100732,-
May 2021,109460,-
April 2021,142501,-
March 2021,201053,-
February 2021,113595,-
January 2021,124281,-
December 2020,124380,-
