Month,Peak,Average
December 2023,75573,43435.0
November 2023,77655,32510.0
October 2023,52412,25107.0
September 2023,61672,29019.0
August 2023,51645,28189.0
July 2023,54326,32428.0
June 2023,45057,24979.0
May 2023,43444,22815.0
April 2023,49534,26906.0
March 2023,52056,27274.0
February 2023,66439,31815.0
January 2023,70914,42351.0
December 2022,63252,39015.0
November 2022,66492,22703.0
October 2022,36196,16890.0
September 2022,34026,-
August 2022,33507,-
July 2022,34885,-
June 2022,30173,-
May 2022,31329,-
April 2022,37319,-
March 2022,34408,-
February 2022,39126,-
January 2022,41319,-
December 2021,39600,-
November 2021,40197,-
October 2021,23399,-
September 2021,28633,-
August 2021,27032,-
July 2021,28343,-
June 2021,20947,-
May 2021,24005,-
April 2021,24250,-
March 2021,26287,-
February 2021,27588,-
January 2021,32364,-
December 2020,31958,-
