Month,Peak,Average
December 2023,19526,8739.0
November 2023,16942,7817.0
October 2023,29285,11614.0
September 2023,27325,7855.0
August 2023,18576,8209.0
July 2023,22599,12729.0
June 2023,16433,8664.0
May 2023,24438,11109.0
April 2023,29162,12553.0
March 2023,41590,12736.0
February 2023,32654,11630.0
January 2023,24949,12122.0
December 2022,24109,11944.0
November 2022,27368,9772.0
October 2022,19458,7951.0
September 2022,35683,-
August 2022,30117,-
July 2022,25310,-
June 2022,28347,-
May 2022,26071,-
April 2022,35268,-
March 2022,20745,-
February 2022,24001,-
January 2022,36920,-
December 2021,31081,-
November 2021,21584,-
October 2021,17886,-
September 2021,25999,-
August 2021,19713,-
July 2021,50364,-
June 2021,63069,-
May 2021,44124,-
April 2021,46733,-
March 2021,22349,-
February 2021,28017,-
January 2021,53347,-
December 2020,45821,-
