Month,Peak,Average
December 2023,33,9.0
November 2023,33,11.0
October 2023,30,9.0
September 2023,37,10.0
August 2023,41,12.0
July 2023,42,12.0
June 2023,38,12.0
May 2023,35,9.0
April 2023,38,11.0
March 2023,37,11.0
February 2023,34,10.0
January 2023,40,11.0
December 2022,33,8.0
November 2022,35,7.0
October 2022,31,7.0
September 2022,41,-
August 2022,49,-
July 2022,49,-
June 2022,44,-
May 2022,43,-
April 2022,49,-
March 2022,46,-
February 2022,75,-
January 2022,85,-
December 2021,30,-
November 2021,25,-
October 2021,36,-
September 2021,34,-
August 2021,30,-
July 2021,32,-
June 2021,37,-
May 2021,34,-
April 2021,40,-
March 2021,44,-
February 2021,42,-
January 2021,45,-
December 2020,49,-
