Month,Peak,Average
December 2023,112223,65742.0
November 2023,115429,61626.0
October 2023,98171,55300.0
September 2023,102081,52997.0
August 2023,87471,53594.0
July 2023,77738,52392.0
June 2023,83056,53225.0
May 2023,96275,57671.0
April 2023,113250,63341.0
March 2023,100779,59670.0
February 2023,98137,60517.0
December 2022,87443,49706.0
November 2022,88331,48750.0
October 2022,81761,41207.0
September 2022,74970,-
August 2022,66658,-
July 2022,57389,-
June 2022,65526,-
May 2022,63781,-
April 2022,76204,-
March 2022,72969,-
February 2022,51218,-
January 2022,45500,-
December 2021,44006,-
November 2021,47670,-
October 2021,42448,-
September 2021,43814,-
August 2021,38210,-
July 2021,33737,-
June 2021,40275,-
May 2021,40619,-
April 2021,63406,-
March 2021,54559,-
February 2021,43666,-
January 2021,40783,-
December 2020,50002,-
