Month,Peak,Average
December 2023,201840,8785.0
November 2023,11284,5916.0
October 2023,12030,6155.0
September 2023,13031,6331.0
August 2023,22064,7903.0
July 2023,196124,8449.0
June 2023,12490,6665.0
May 2023,12376,6654.0
April 2023,12436,6658.0
March 2023,12770,6626.0
February 2023,12576,6910.0
January 2023,13077,7521.0
December 2022,19190,7782.0
November 2022,411338,10366.0
October 2022,13706,6792.0
September 2022,15885,-
August 2022,13223,-
July 2022,13567,-
June 2022,16371,-
May 2022,16238,-
April 2022,13351,-
March 2022,13218,-
February 2022,13895,-
January 2022,15091,-
December 2021,14251,-
November 2021,37947,-
October 2021,13017,-
September 2021,14825,-
August 2021,13575,-
July 2021,12355,-
June 2021,14732,-
May 2021,14809,-
April 2021,13218,-
March 2021,15996,-
February 2021,379096,-
January 2021,14195,-
December 2020,14282,-
