Month,Peak,Average
December 2023,13271.0,4697.0
November 2023,11912.0,4675.0
October 2023,14090.0,4785.0
September 2023,9938.0,4258.0
August 2023,8675.0,4603.0
July 2023,9357.0,5261.0
June 2023,8767.0,4687.0
May 2023,8304.0,3951.0
April 2023,9745.0,4400.0
March 2023,10508.0,4638.0
February 2023,11807.0,5075.0
January 2023,13177.0,6534.0
December 2022,19292.0,7300.0
November 2022,12753.0,5892.0
October 2022,13700.0,5711.0
September 2022,12216.0,
August 2022,10925.0,
July 2022,11125.0,
June 2022,12630.0,
May 2022,13221.0,
April 2022,17173.0,
March 2022,12688.0,
February 2022,16171.0,
January 2022,19519.0,
December 2021,18881.0,
November 2021,26106.0,
October 2021,14422.0,
September 2021,17005.0,
August 2021,17635.0,
July 2021,19634.0,
June 2021,22305.0,
May 2021,28750.0,
April 2021,97580.0,
March 2021,132544.0,
February 2021,75822.0,
January 2021,121505.0,
December 2020,184578.0,
November 2020,343004.0,
October 2020,378432.0,
September 2020,447476.0,
August 2020,73829.0,
July 2020,6790.0,
June 2020,2933.0,
May 2020,1253.0,
April 2020,850.0,
March 2020,724.0,
February 2020,875.0,
January 2020,280.0,
December 2019,202.0,
November 2019,268.0,
October 2019,277.0,
September 2019,437.0,
August 2019,728.0,
July 2019,564.0,
June 2019,209.0,
May 2019,30.0,
April 2019,28.0,
March 2019,30.0,
February 2019,27.0,
January 2019,39.0,
December 2018,20.0,
