Month,Peak,Average
December 2023,2253.0,1435.0
November 2023,2144.0,1286.0
October 2023,1697.0,1033.0
September 2023,1595.0,1012.0
August 2023,1631.0,1004.0
July 2023,2136.0,1315.0
June 2023,2227.0,1214.0
May 2023,2849.0,1486.0
April 2023,3324.0,1671.0
March 2023,3005.0,1666.0
February 2023,3844.0,2015.0
January 2023,4380.0,2180.0
December 2022,1675.0,1059.0
November 2022,1750.0,1011.0
October 2022,1975.0,1164.0
September 2022,2178.0,
August 2022,2904.0,
July 2022,2185.0,
June 2022,2141.0,
May 2022,2787.0,
April 2022,3804.0,
March 2022,4928.0,
February 2022,1992.0,
January 2022,2603.0,
December 2021,1823.0,
November 2021,1638.0,
October 2021,1490.0,
September 2021,1763.0,
August 2021,1889.0,
July 2021,2429.0,
June 2021,2005.0,
May 2021,2564.0,
April 2021,2181.0,
March 2021,1758.0,
February 2021,1657.0,
January 2021,1696.0,
