Month,Peak,Average
December 2023,15966.0,10667.0
November 2023,20100.0,11167.0
October 2023,20433.0,11588.0
September 2023,19172.0,11218.0
August 2023,20169.0,12262.0
July 2023,20114.0,13297.0
June 2023,21934.0,12426.0
May 2023,19520.0,11534.0
April 2023,29189.0,16822.0
March 2023,19100.0,10739.0
February 2023,21445.0,12778.0
January 2023,24202.0,14667.0
December 2022,23864.0,14082.0
November 2022,20734.0,11756.0
October 2022,25446.0,12455.0
September 2022,17597.0,
August 2022,22405.0,
July 2022,20222.0,
June 2022,19150.0,
May 2022,25688.0,
April 2022,24098.0,
March 2022,16927.0,
February 2022,20059.0,
January 2022,27556.0,
December 2021,27673.0,
November 2021,27618.0,
October 2021,35232.0,
September 2021,38373.0,
August 2021,24449.0,
July 2021,23216.0,
June 2021,18181.0,
May 2021,14860.0,
April 2021,23885.0,
March 2021,53943.0,
February 2021,30714.0,
January 2021,43840.0,
