Month,Peak,Average
December 2023,75569,44877
November 2023,73609,41009
October 2023,79143,42762
September 2023,71302,40676
August 2023,65006,39123
July 2023,71689,45136
June 2023,6136,36419
May 2023,65871,38326
April 2023,78594,46021
March 2023,79231,45743
February 2023,8126,45783
January 2023,79723,51989
December 2022,7775,46623
November 2022,90143,45798
October 2022,62326,33998
September 2022,64928,0
August 2022,60326,0
July 2022,53002,0
June 2022,55709,0
May 2022,6179,0
April 2022,66652,0
March 2022,64711,0
February 2022,61321,0
January 2022,64587,0
December 2021,52842,0
November 2021,54561,0
October 2021,50982,0
September 2021,71791,0
August 2021,49262,0
July 2021,66606,0
June 2021,45816,0
May 2021,49539,0
April 2021,59761,0
March 2021,64817,0
February 2021,68498,0
January 2021,66255,0
December 2020,55295,0
