Month,Peak,Average
December 2023,1255172,770063
November 2023,1163388,714469
October 2023,1392488,793990
September 2023,1560435,978660
August 2023,1369511,921731
July 2023,1229115,881156
June 2023,1673717,1085367
May 2023,1818773,1116430
April 2023,1514410,919294
March 2023,1519457,842967
February 2023,1355797,804142
January 2023,1200077,725236
December 2022,1067327,628526
November 2022,1132952,622158
October 2022,1090858,608028
September 2022,1103223,0
August 2022,1039889,0
July 2022,928329,0
June 2022,906968,0
May 2022,932681,0
April 2022,1016762,0
March 2022,993808,0
February 2022,997730,0
January 2022,992455,0
December 2021,950586,0
November 2021,944330,0
October 2021,866030,0
September 2021,949817,0
August 2021,804133,0
July 2021,766510,0
June 2021,929940,0
May 2021,1088168,0
April 2021,1150982,0
March 2021,1201993,0
February 2021,1125838,0
January 2021,1125411,0
December 2020,1169661,0
