Month,Peak,Average
December 2023,20861.0,13201.0
November 2023,26611.0,14418.0
October 2023,20417.0,12253.0
September 2023,19265.0,11443.0
August 2023,20879.0,12304.0
July 2023,24628.0,15313.0
June 2023,27915.0,16190.0
May 2023,45278.0,20020.0
April 2023,24378.0,13306.0
March 2023,18835.0,11549.0
February 2023,19568.0,11795.0
January 2023,19094.0,12509.0
December 2022,17829.0,11925.0
November 2022,19914.0,11436.0
October 2022,25099.0,13559.0
September 2022,34555.0,
August 2022,20969.0,
July 2022,21335.0,
June 2022,26746.0,
May 2022,25236.0,
April 2022,24165.0,
March 2022,26693.0,
February 2022,63229.0,
January 2022,19686.0,
December 2021,17459.0,
November 2021,16054.0,
October 2021,15693.0,
September 2021,17674.0,
August 2021,17400.0,
July 2021,17123.0,
June 2021,17561.0,
May 2021,18725.0,
April 2021,19792.0,
March 2021,36159.0,
February 2021,16521.0,
January 2021,22922.0,
December 2020,21413.0,
November 2020,25004.0,
October 2020,46173.0,
September 2020,98872.0,
