Month,Peak,Average
December 2023,89098.0,48624.0
November 2023,81448.0,40155.0
October 2023,274526.0,94955.0
September 2023,259283.0,57251.0
August 2023,32178.0,16427.0
July 2023,31956.0,18839.0
June 2023,30953.0,14707.0
May 2023,22434.0,11843.0
April 2023,31446.0,16102.0
March 2023,26373.0,13308.0
February 2023,29224.0,15172.0
January 2023,43786.0,26811.0
December 2022,45634.0,28035.0
November 2022,57298.0,31323.0
October 2022,118298.0,53083.0
September 2022,136724.0,
August 2022,18835.0,
July 2022,19577.0,
June 2022,18621.0,
May 2022,24102.0,
April 2022,23181.0,
March 2022,35109.0,
February 2022,59061.0,
January 2022,27631.0,
December 2021,30304.0,
November 2021,29004.0,
October 2021,16250.0,
September 2021,19772.0,
August 2021,21543.0,
July 2021,17146.0,
June 2021,15703.0,
May 2021,17908.0,
April 2021,25430.0,
March 2021,22965.0,
February 2021,47272.0,
January 2021,225963.0,
December 2020,1054388.0,
