Month,Peak,Average
December 2023,103704,49427
November 2023,9467,33448
October 2023,69434,42198
September 2023,145741,58966
August 2023,126261,48692
July 2023,88032,47279
June 2023,1204,62441
May 2023,193495,78468
April 2023,142188,87776
March 2023,313267,13463
February 2023,31675,72094
January 2023,96604,63564
December 2022,122279,62023
November 2022,60878,38299
October 2022,103063,59644
September 2022,149576,0
August 2022,193209,0
July 2022,103075,0
June 2022,127109,0
May 2022,180392,0
April 2022,88334,0
March 2022,229217,0
February 2022,290112,0
January 2022,78867,0
December 2021,15547,0
November 2021,76489,0
October 2021,128632,0
September 2021,147575,0
August 2021,178241,0
July 2021,116526,0
June 2021,108572,0
May 2021,187599,0
April 2021,95331,0
March 2021,87492,0
February 2021,132255,0
January 2021,79523,0
December 2020,141667,0
