Month,Peak,Average
December 2023,802939.0,436019.0
November 2023,773854.0,433650.0
October 2023,784158.0,436889.0
September 2023,784560.0,438354.0
August 2023,863795.0,444092.0
July 2023,706044.0,437923.0
June 2023,683487.0,421083.0
May 2023,715786.0,432804.0
April 2023,810881.0,429921.0
March 2023,757854.0,418687.0
February 2023,685805.0,401496.0
January 2023,766096.0,427977.0
December 2022,834168.0,468052.0
November 2022,990991.0,525929.0
October 2022,1042939.0,456369.0
September 2022,872372.0,
August 2022,751789.0,
July 2022,686899.0,
June 2022,702003.0,
May 2022,695554.0,
April 2022,734735.0,
March 2022,743726.0,
February 2022,728213.0,
January 2022,787609.0,
December 2021,759878.0,
November 2021,752800.0,
October 2021,753627.0,
September 2021,667488.0,
August 2021,700245.0,
July 2021,710866.0,
June 2021,734277.0,
May 2021,673660.0,
April 2021,706812.0,
March 2021,650049.0,
February 2021,657208.0,
January 2021,695426.0,
