Month,Peak,Average
December 2023,20327,13079
November 2023,21809,1281
October 2023,22891,13483
September 2023,21246,12344
August 2023,17817,10629
July 2023,16573,10128
June 2023,17143,1029
May 2023,17544,10644
April 2023,19323,11897
March 2023,19858,11635
February 2023,19836,11747
January 2023,21689,1318
December 2022,20369,1281
November 2022,19344,11811
October 2022,18636,11506
September 2022,19268,0
August 2022,17842,0
July 2022,17737,0
June 2022,17866,0
May 2022,20126,0
April 2022,20019,0
March 2022,16084,0
February 2022,17659,0
January 2022,18545,0
December 2021,16582,0
November 2021,17685,0
October 2021,20606,0
September 2021,21906,0
August 2021,17567,0
July 2021,15148,0
June 2021,15566,0
May 2021,17147,0
April 2021,17176,0
March 2021,1766,0
February 2021,22597,0
January 2021,21959,0
December 2020,17686,0
