Month,Peak,Average
December 2023,7311.0,2657.0
November 2023,9150.0,4421.0
October 2023,10362.0,2451.0
September 2023,5558.0,1616.0
August 2023,2530.0,1517.0
July 2023,4257.0,1599.0
June 2023,3773.0,1383.0
May 2023,3233.0,1420.0
April 2023,4393.0,1819.0
March 2023,5353.0,1942.0
February 2023,3307.0,1681.0
January 2023,5456.0,1979.0
December 2022,4247.0,1835.0
November 2022,7211.0,2788.0
October 2022,11302.0,4837.0
September 2022,11791.0,
August 2022,3219.0,
July 2022,3613.0,
June 2022,2993.0,
May 2022,4271.0,
April 2022,2648.0,
March 2022,3204.0,
February 2022,3711.0,
January 2022,4085.0,
December 2021,4114.0,
November 2021,3192.0,
October 2021,5409.0,
September 2021,5596.0,
August 2021,3975.0,
July 2021,5096.0,
June 2021,3126.0,
May 2021,3612.0,
April 2021,4311.0,
March 2021,5709.0,
February 2021,3272.0,
January 2021,1077.0,
