Month,Peak,Average
December 2023,9449.0,5669.0
November 2023,8637.0,4408.0
October 2023,7123.0,3330.0
September 2023,8268.0,3631.0
August 2023,5480.0,3394.0
July 2023,8008.0,4836.0
June 2023,5223.0,2914.0
May 2023,7619.0,3942.0
April 2023,11963.0,5317.0
March 2023,10812.0,5038.0
February 2023,8286.0,4998.0
January 2023,16903.0,9631.0
December 2022,20101.0,11000.0
November 2022,9354.0,4807.0
October 2022,9505.0,4558.0
September 2022,12233.0,
August 2022,13576.0,
July 2022,14106.0,
June 2022,10063.0,
May 2022,6097.0,
April 2022,9348.0,
March 2022,10378.0,
February 2022,12137.0,
January 2022,12352.0,
December 2021,11069.0,
November 2021,12695.0,
October 2021,13666.0,
September 2021,8308.0,
August 2021,9288.0,
July 2021,15507.0,
June 2021,14598.0,
May 2021,7659.0,
April 2021,11159.0,
March 2021,18273.0,
February 2021,17024.0,
January 2021,35423.0,
