Month,Peak,Average
December 2023,790,147.0
November 2023,663,148.0
October 2023,584,142.0
September 2023,531,136.0
August 2023,627,150.0
July 2023,540,140.0
June 2023,604,140.0
May 2023,547,147.0
April 2023,569,152.0
March 2023,680,143.0
February 2023,469,129.0
January 2023,536,148.0
December 2022,462,126.0
November 2022,441,129.0
October 2022,413,116.0
September 2022,463,-
August 2022,408,-
July 2022,291,-
June 2022,242,-
May 2022,226,-
April 2022,315,-
March 2022,356,-
February 2022,319,-
January 2022,566,-
December 2021,270,-
November 2021,233,-
October 2021,251,-
September 2021,209,-
August 2021,188,-
July 2021,336,-
June 2021,274,-
May 2021,243,-
April 2021,412,-
March 2021,456,-
February 2021,379,-
January 2021,612,-
December 2020,302,-
