Month,Peak,Average
December 2023,129009,45039
November 2023,46863,21633
October 2023,43555,18955
September 2023,39301,14817
August 2023,28978,13344
July 2023,30711,15179
June 2023,32413,14532
May 2023,36623,14423
April 2023,47089,1808
March 2023,52911,20766
February 2023,32371,15339
January 2023,31861,15551
December 2022,28159,11898
November 2022,26192,11323
October 2022,25438,1069
September 2022,24237,0
August 2022,29435,0
July 2022,32523,0
June 2022,33205,0
May 2022,33375,0
April 2022,28815,0
March 2022,33413,0
February 2022,27185,0
January 2022,31132,0
December 2021,27649,0
November 2021,26674,0
October 2021,32784,0
September 2021,32026,0
August 2021,38769,0
July 2021,36081,0
June 2021,37212,0
May 2021,40474,0
April 2021,47859,0
March 2021,40499,0
February 2021,42693,0
January 2021,56758,0
December 2020,5635,0
