Month,Peak,Average
December 2023,35771.0,19821.0
November 2023,29539.0,16119.0
October 2023,24800.0,13965.0
September 2023,24490.0,13836.0
August 2023,25283.0,14593.0
July 2023,32544.0,18906.0
June 2023,24101.0,14017.0
May 2023,25400.0,15116.0
April 2023,30113.0,16696.0
March 2023,30564.0,17011.0
February 2023,29645.0,17048.0
January 2023,36865.0,21455.0
December 2022,38229.0,22791.0
November 2022,58440.0,31196.0
October 2022,58672.0,20021.0
September 2022,25787.0,
August 2022,25119.0,
July 2022,21862.0,
June 2022,24050.0,
May 2022,22539.0,
April 2022,24143.0,
March 2022,23288.0,
February 2022,29889.0,
January 2022,34701.0,
December 2021,28204.0,
November 2021,21420.0,
October 2021,20169.0,
September 2021,20538.0,
August 2021,22250.0,
July 2021,23213.0,
June 2021,20802.0,
May 2021,22579.0,
April 2021,23771.0,
March 2021,24304.0,
February 2021,19575.0,
January 2021,20867.0,
December 2020,18101.0,
November 2020,16035.0,
October 2020,19923.0,
September 2020,19175.0,
August 2020,19176.0,
July 2020,20390.0,
June 2020,26245.0,
May 2020,77973.0,
April 2020,248216.0,
March 2020,219787.0,
