Month,Peak,Average
December 2023,167593,60272
November 2023,27481,13493
October 2023,49194,23259
September 2023,89839,47182
August 2023,165823,4111
July 2023,20273,13228
June 2023,27347,16889
May 2023,79314,36789
April 2023,211637,68667
March 2023,2079,14497
February 2023,35339,21141
January 2023,61692,35469
December 2022,127944,40209
November 2022,22342,7628
October 2022,28145,11614
September 2022,61378,0
August 2022,152033,0
July 2022,25437,0
June 2022,55119,0
May 2022,13101,0
April 2022,21475,0
March 2022,40818,0
February 2022,158882,0
January 2022,19481,0
December 2021,46025,0
November 2021,7783,0
October 2021,150485,0
September 2021,28398,0
August 2021,64779,0
July 2021,11624,0
June 2021,28019,0
May 2021,92312,0
April 2021,155293,0
March 2021,44132,0
February 2021,90952,0
January 2021,157103,0
December 2020,36787,0
