Month,Peak,Average
December 2023,626998,247346
November 2023,503629,206075
October 2023,444989,188872
September 2023,415099,182593
August 2023,398511,180285
July 2023,356738,163325
June 2023,376727,164431
May 2023,415868,183375
April 2023,446381,197927
March 2023,459574,202949
February 2023,491514,220805
January 2023,469605,203519
December 2022,58854,212147
November 2022,426437,184303
October 2022,442148,196436
September 2022,45056,0
August 2022,396248,0
July 2022,394124,0
June 2022,414321,0
May 2022,470056,0
April 2022,527621,0
March 2022,536252,0
February 2022,532115,0
January 2022,699792,0
December 2021,366455,0
November 2021,344841,0
October 2021,393772,0
September 2021,400709,0
August 2021,444442,0
July 2021,413414,0
June 2021,431012,0
May 2021,419509,0
April 2021,458345,0
March 2021,467758,0
February 2021,460071,0
January 2021,457281,0
December 2020,447894,0
