Month,Peak,Average
December 2023,27332.0,19337.0
November 2023,28208.0,19200.0
October 2023,27493.0,18769.0
September 2023,25020.0,16191.0
August 2023,28444.0,18801.0
July 2023,28545.0,20705.0
June 2023,24456.0,17381.0
May 2023,28690.0,19088.0
April 2023,30097.0,18823.0
March 2023,25891.0,17803.0
February 2023,30458.0,20007.0
January 2023,32011.0,23096.0
December 2022,32547.0,22583.0
November 2022,54045.0,31722.0
October 2022,60789.0,25317.0
September 2022,26313.0,
August 2022,30143.0,
July 2022,28874.0,
June 2022,25466.0,
May 2022,25990.0,
April 2022,25261.0,
March 2022,24941.0,
February 2022,24837.0,
January 2022,25439.0,
December 2021,22141.0,
November 2021,22469.0,
October 2021,24314.0,
September 2021,32125.0,
August 2021,45879.0,
July 2021,50907.0,
June 2021,22355.0,
May 2021,20758.0,
April 2021,20776.0,
March 2021,22034.0,
February 2021,26354.0,
January 2021,27172.0,
