Month,Peak,Average
December 2023,143062,84041
November 2023,138916,68994
October 2023,131199,69525
September 2023,127559,69407
August 2023,172295,83344
July 2023,182335,95517
June 2023,162238,91834
May 2023,155875,8759
April 2023,157895,82603
March 2023,15098,84328
February 2023,167827,89919
January 2023,177765,95064
December 2022,13993,85656
November 2022,133917,73085
October 2022,120597,71926
September 2022,128094,0
August 2022,137051,0
July 2022,138227,0
June 2022,16512,0
May 2022,1340,0
April 2022,142224,0
March 2022,134673,0
February 2022,164991,0
January 2022,155229,0
December 2021,126124,0
November 2021,120659,0
October 2021,107256,0
September 2021,122359,0
August 2021,156303,0
July 2021,148663,0
June 2021,133823,0
May 2021,144083,0
April 2021,148216,0
March 2021,167672,0
February 2021,224689,0
January 2021,245243,0
December 2020,97557,0
