Month,Peak,Average
December 2023,181169,109814
November 2023,167864,100716
October 2023,19628,111348
September 2023,188604,110938
August 2023,205518,120502
July 2023,204103,128777
June 2023,211101,124035
May 2023,213168,122227
April 2023,211444,127219
March 2023,211556,90831
February 2023,95356,3166
January 2023,44262,3607
December 2022,40413,2772
November 2022,40653,2647
October 2022,32967,2876
September 2022,54476,0
August 2022,42455,0
July 2022,35412,0
June 2022,23468,0
May 2022,20369,0
April 2022,27453,0
March 2022,28182,0
February 2022,28638,0
January 2022,35057,0
December 2021,28154,0
November 2021,32891,0
October 2021,23436,0
September 2021,31267,0
August 2021,28233,0
July 2021,27059,0
June 2021,20432,0
May 2021,15557,0
April 2021,906,0
March 2021,83556,0
February 2021,93815,0
January 2021,68844,0
December 2020,63356,0
