Month,Peak,Average
December 2023,5240,1870
November 2023,4770,1900
October 2023,3290,1380
September 2023,3920,1620
August 2023,4140,1640
July 2023,4250,2120
June 2023,4190,1800
May 2023,4380,1620
April 2023,4600,1910
March 2023,4750,2060
February 2023,4430,1790
January 2023,5630,2750
December 2022,5880,2370
November 2022,4510,1580
October 2022,4380,1610
September 2022,4620,0
August 2022,5610,0
July 2022,6380,0
June 2022,6280,0
May 2022,8990,0
April 2022,3900,0
March 2022,3960,0
February 2022,6650,0
January 2022,8150,0
December 2021,8680,0
November 2021,5330,0
October 2021,5130,0
September 2021,4900,0
August 2021,5840,0
July 2021,7960,0
June 2021,8740,0
May 2021,6790,0
April 2021,134,0
March 2021,1162,0
February 2021,8520,0
January 2021,1244,0
December 2020,123,0
