Month,Peak,Average
December 2023,53647,31920.0
November 2023,46902,28651.0
October 2023,48881,29570.0
September 2023,44421,27724.0
August 2023,53953,34422.0
July 2023,53713,37467.0
June 2023,45587,29782.0
May 2023,43482,28011.0
April 2023,50739,32593.0
March 2023,52155,33817.0
February 2023,56273,36173.0
January 2023,59125,40849.0
December 2022,48221,28337.0
November 2022,37533,23971.0
October 2022,35215,22621.0
September 2022,38456,-
August 2022,46839,-
July 2022,54397,-
June 2022,49400,-
May 2022,43052,-
April 2022,40549,-
March 2022,38619,-
February 2022,44144,-
January 2022,48409,-
December 2021,40027,-
November 2021,35608,-
October 2021,35809,-
September 2021,36552,-
August 2021,49759,-
July 2021,41642,-
June 2021,36557,-
May 2021,35684,-
April 2021,42578,-
March 2021,52375,-
February 2021,59731,-
January 2021,94879,-
December 2020,89807,-
