Month,Peak,Average
12/2023,2300,241
11/2023,14800,402
10/2023,1100,66
09/2023,1000,94
08/2023,3600,200
07/2023,4100,187
06/2023,1900,159
05/2023,1700,138
04/2023,2600,363
03/2023,11200,713
02/2023,1000,88
01/2023,3600,214
12/2022,5400,464
11/2022,3900,102
10/2022,3000,129
09/2022,5400,489
08/2022,2500,150
07/2022,7100,267
06/2022,1700,139
05/2022,10100,358
04/2022,12800,1300
03/2022,4000,129
02/2022,13900,319
01/2022,12900,298
12/2021,2900,115
11/2021,7800,222
10/2021,2300,92
09/2021,12700,687
08/2021,5500,453
07/2021,8600,135
06/2021,7900,345
05/2021,6000,374
04/2021,1300,120
03/2021,9500,320
02/2021,8400,583
01/2021,6400,324
12/2020,2400,136
