Month,Peak,Average
12/2023,61400,26200
11/2023,105000,36100
10/2023,123000,34200
09/2023,462000,47400
08/2023,200000,46400
07/2023,442000,46000
06/2023,89800,39100
05/2023,174000,55000
04/2023,143000,51400
03/2023,166000,55900
02/2023,429000,63700
01/2023,319000,46800
12/2022,292000,45000
11/2022,172000,51100
10/2022,134000,44200
09/2022,176000,65600
08/2022,246000,76400
07/2022,518000,75200
06/2022,206000,69500
05/2022,559000,109000
04/2022,296000,92200
03/2022,241000,91400
02/2022,266000,97700
01/2022,310000,86100
12/2021,238000,62500
11/2021,282000,81600
10/2021,279000,79600
09/2021,330000,95400
08/2021,414000,125000
07/2021,215000,63600
06/2021,243000,66300
05/2021,366000,91500
04/2021,178000,71400
03/2021,209000,82000
02/2021,212000,76900
01/2021,157000,49200
12/2020,161000,47700
