Month,Peak,Average
12/2023,46300.0,21500.0
11/2023,102000.0,24400.0
10/2023,60500.0,22200.0
09/2023,49700.0,18100.0
08/2023,103000.0,22500.0
07/2023,56800.0,27100.0
06/2023,63600.0,25900.0
05/2023,97700.0,23000.0
04/2023,46200.0,23000.0
03/2023,51200.0,22400.0
02/2023,90300.0,23600.0
01/2023,46500.0,24100.0
12/2022,54800.0,22100.0
11/2022,72500.0,24100.0
10/2022,53000.0,25000.0
09/2022,107000.0,30500.0
08/2022,128000.0,32600.0
07/2022,86100.0,31700.0
06/2022,94200.0,33400.0
05/2022,150000.0,27400.0
04/2022,144000.0,29100.0
03/2022,119000.0,29700.0
02/2022,151000.0,29500.0
01/2022,100000.0,31000.0
12/2021,111000.0,29600.0
11/2021,117000.0,31900.0
10/2021,109000.0,33800.0
09/2021,119000.0,39900.0
08/2021,172000.0,40800.0
07/2021,82800.0,40500.0
06/2021,141000.0,37600.0
05/2021,256000.0,33500.0
04/2021,128000.0,29800.0
03/2021,116000.0,30800.0
02/2021,62500.0,27000.0
01/2021,72400.0,27400.0
12/2020,79700.0,26900.0
