Month,Peak,Average
12/2023,38900,1800
11/2023,39100,1700
10/2023,20800,1700
09/2023,13300,1300
08/2023,14900,1500
07/2023,14500,1500
06/2023,8700,1200
05/2023,14000,1300
04/2023,10900,1300
03/2023,60400,1100
02/2023,9600,1000
01/2023,19400,1500
12/2022,13000,1200
11/2022,23800,1100
10/2022,12400,1100
09/2022,12300,1200
08/2022,13000,1000
07/2022,14500,1400
06/2022,13000,1300
05/2022,12900,1300
04/2022,53700,1700
03/2022,13300,1200
02/2022,48800,1800
01/2022,26700,2200
12/2021,10700,1400
11/2021,14200,1100
10/2021,11200,1300
09/2021,8200,1300
08/2021,59700,2100
07/2021,11600,1600
06/2021,14200,2100
05/2021,14400,2300
04/2021,58000,3300
03/2021,13000,1700
02/2021,18000,1900
01/2021,16400,1600
12/2020,27700,1600
