Month,Peak,Average
12/2023,55900.0,2400.0
11/2023,45100.0,2400.0
10/2023,39400.0,2500.0
09/2023,55400.0,3800.0
08/2023,117000.0,4100.0
07/2023,90600.0,5100.0
06/2023,116000.0,5900.0
05/2023,137000.0,7200.0
04/2023,39700.0,3600.0
03/2023,70800.0,3500.0
02/2023,82600.0,4300.0
01/2023,258000.0,5200.0
12/2022,134000.0,5900.0
11/2022,79600.0,5100.0
10/2022,105000.0,6500.0
09/2022,187000.0,16500.0
08/2022,201000.0,22600.0
07/2022,417000.0,60600.0
06/2022,339000.0,33900.0
05/2022,94300.0,6700.0
04/2022,143000.0,5200.0
03/2022,155000.0,4200.0
02/2022,144000.0,4600.0
01/2022,198000.0,4700.0
12/2021,325000.0,6100.0
11/2021,78600.0,4100.0
10/2021,286000.0,5600.0
09/2021,122000.0,7900.0
08/2021,235000.0,14200.0
07/2021,119000.0,6500.0
06/2021,69600.0,5400.0
05/2021,63500.0,4900.0
04/2021,119000.0,5900.0
03/2021,137000.0,7200.0
02/2021,84800.0,4800.0
01/2021,76200.0,5200.0
12/2020,310000.0,8300.0
