Month,Peak,Average
12/2023,37500.0,919.0
11/2023,18100.0,188.0
10/2023,26200.0,252.0
09/2023,17000.0,296.0
08/2023,17600.0,311.0
07/2023,22400.0,305.0
06/2023,19300.0,274.0
05/2023,53300.0,427.0
04/2023,11200.0,290.0
03/2023,15700.0,327.0
02/2023,13000.0,200.0
01/2023,29200.0,375.0
12/2022,24600.0,293.0
11/2022,39600.0,283.0
10/2022,15300.0,326.0
09/2022,34400.0,400.0
08/2022,33100.0,557.0
07/2022,47200.0,751.0
06/2022,129000.0,983.0
05/2022,26200.0,417.0
04/2022,36000.0,610.0
03/2022,67200.0,552.0
02/2022,21000.0,531.0
01/2022,146000.0,820.0
12/2021,131000.0,705.0
11/2021,16800.0,353.0
10/2021,68900.0,767.0
09/2021,79300.0,796.0
08/2021,75100.0,979.0
07/2021,69800.0,696.0
06/2021,55500.0,495.0
05/2021,59900.0,727.0
04/2021,76600.0,956.0
03/2021,68000.0,639.0
02/2021,32200.000000000004,790.0
01/2021,27000.0,1100.0
12/2020,75600.0,1800.0
