Month,Peak,Average
12/2023,41300,1600
11/2023,29900,355
10/2023,11300,294
09/2023,713,19
08/2023,9200,134
07/2023,24700,235
06/2023,17900,703
05/2023,15900,939
04/2023,11500,362
03/2023,30300,644
02/2023,14400,680
01/2023,19000,1200
12/2022,5100,204
11/2022,4600,100
10/2022,1700,52
09/2022,4900,234
08/2022,13500,184
07/2022,5100,121
06/2022,14800,319
05/2022,22400,361
04/2022,16300,355
03/2022,113000,1900
02/2022,11300,244
01/2022,27300,394
12/2021,14000,304
11/2021,10400,175
10/2021,5600,137
09/2021,23600,248
08/2021,88600,1000
07/2021,79200,2500
06/2021,43200,1500
05/2021,519,11
04/2021,844,21
03/2021,522,29
02/2021,782,46
01/2021,1200,46
12/2020,30,4
