Month,Peak,Average
12/2023,35100.0,404.0
11/2023,51700.0,674.0
10/2023,9900.0,101.0
09/2023,20300.0,194.0
08/2023,69200.0,744.0
07/2023,23700.0,1100.0
06/2023,34000.0,560.0
05/2023,105000.0,968.0
04/2023,53500.0,695.0
03/2023,59000.0,944.0
02/2023,67600.0,1600.0
01/2023,106000.0,611.0
12/2022,14300.0,198.0
11/2022,70800.0,313.0
10/2022,8700.0,98.0
09/2022,5000.0,115.0
08/2022,111000.0,847.0
07/2022,239000.0,5500.0
06/2022,72500.0,387.0
05/2022,55600.0,568.0
04/2022,51200.0,452.0
03/2022,124000.0,1200.0
02/2022,13400.0,219.0
01/2022,34200.0,566.0
12/2021,41700.0,472.0
11/2021,12000.0,155.0
10/2021,51600.0,452.0
09/2021,36300.0,406.0
08/2021,115000.0,927.0
07/2021,243000.0,661.0
06/2021,58300.0,542.0
05/2021,56600.0,157.0
04/2021,48000.0,205.0
03/2021,20500.0,193.0
02/2021,142000.0,1600.0
01/2021,94600.0,1300.0
12/2020,49900.0,504.0
