Month,Peak,Average
2.5K,17400.0,-1
3.6K,27800.0,-1
5.3K,-,445
4.9K,15600.0,-1
6.2K,51000.0,3
2.7K,-,274
2.4K,-,-21
2.5K,-,-351
2.8K,-,-15
2.8K,-,-567
3.4K,-,-918
4.3K,-,711
3.6K,-,-148
3.8K,48800.0,-2
6.3K,84100.0,1
5.1K,97400.0,1
3.8K,24800.0,-1
5.4K,-,-143
5.5K,97100.0,1
3.9K,-,-799
4.7K,-,787
4.0K,32600.0,-1
5.0K,52200.0,-1
6.1K,-,-597
6.7K,-,42
6.7K,97300.0,-3
10.1K,-,931
9.2K,121000.0,1
7.6K,130000.0,3
4.0K,-,-683
4.7K,-,479
4.2K,127000.0,-1
5.2K,-,-472
5.7K,174000.0,-1
6.7K,-,-671
7.4K,66000.0,-1
9.3K,85700.0,-9
