Month,Peak,Average
12/2023,25700.0,728.0
11/2023,35300.0,529.0
10/2023,30300.0,503.0
09/2023,47200.0,634.0
08/2023,64599.99999999999,1600.0
07/2023,36900.0,774.0
06/2023,51600.0,805.0
05/2023,33800.0,903.0
04/2023,30100.0,486.0
03/2023,52200.0,745.0
02/2023,52000.0,722.0
01/2023,57300.0,1100.0
12/2022,46600.0,864.0
11/2022,40200.0,494.0
10/2022,49000.0,592.0
09/2022,49000.0,1000.0
08/2022,61000.0,709.0
07/2022,77900.0,987.0
06/2022,62100.0,1400.0
05/2022,114000.0,1800.0
04/2022,128000.0,3200.0
03/2022,137000.0,1800.0
02/2022,99800.0,1300.0
01/2022,37900.0,780.0
12/2021,24800.0,569.0
11/2021,65099.99999999999,707.0
10/2021,37600.0,685.0
09/2021,29000.0,584.0
08/2021,50600.0,917.0
07/2021,75900.0,1500.0
06/2021,50000.0,1100.0
05/2021,51500.0,1300.0
04/2021,53800.0,2200.0
03/2021,76300.0,1500.0
02/2021,42900.0,1300.0
01/2021,186000.0,2600.0
12/2020,43100.0,1500.0
