Month,Peak,Average
12/2023,123000,13200
11/2023,131000,15500
10/2023,65500,15400
09/2023,84600,20900
08/2023,91100,15200
07/2023,55300,10300
06/2023,32400,8100
05/2023,99500,12400
04/2023,56400,15500
03/2023,107000,14300
02/2023,214000,30400
01/2023,28200,8100
12/2022,32300,7100
11/2022,100000,7300
10/2022,57300,8400
09/2022,85300,9900
08/2022,153000,12200
07/2022,47100,10200
06/2022,51000,10600
05/2022,109000,11700
04/2022,65600,13800
03/2022,63000,11800
02/2022,268000,34000
01/2022,52400,9800
12/2021,53400,10300
11/2021,102000,12400
10/2021,112000,13300
09/2021,67400,19700
08/2021,132000,16300
07/2021,76100,20300
06/2021,76800,18900
05/2021,273000,36000
04/2021,138000,33600
03/2021,150000,26300
02/2021,191000,37700
01/2021,108000,23500
12/2020,67000,14800
