Month,Peak,Average
12/2023,40200,4100
11/2023,20000,3700
10/2023,15200,3500
09/2023,20200,3600
08/2023,62700,6300
07/2023,44100,5100
06/2023,34000,3500
05/2023,18200,3900
04/2023,19700,4300
03/2023,15100,4700
02/2023,19000,6300
01/2023,18600,5200
12/2022,50900,4000
11/2022,15600,3200
10/2022,53200,4500
09/2022,35700,6800
08/2022,30500,6300
07/2022,32400,6700
06/2022,46800,7600
05/2022,19100,6300
04/2022,19400,4900
03/2022,15100,3300
02/2022,35100,5500
01/2022,96300,9600
12/2021,21800,2800
11/2021,28200,3000
10/2021,30100,3300
09/2021,41400,5800
08/2021,18600,4700
07/2021,22700,2600
06/2021,40900,3600
05/2021,36300,3200
04/2021,7000,1800
03/2021,9500,2000
02/2021,13000,2100
01/2021,33900,2400
12/2020,28500,2200
