Month,Peak,Average
5.3K,42700.0,1
4.2K,-,-961
5.2K,-,766
4.4K,-,107
4.3K,39600.0,-3
8.1K,72900.0,2
5.4K,-,820
4.6K,-,-937
5.5K,-,-844
6.4K,-,655
5.7K,-,-238
6.0K,36600.0,-2
8.8K,36000.0,3
5.3K,-,411
4.9K,-,-990
5.9K,132000.0,-2
8.0K,99600.0,3
4.8K,-,-363
5.2K,-,-530
5.7K,53900.0,-8
13.9K,76400.0,7
6.3K,-,875
5.5K,-,-390
5.9K,-,-252
6.1K,47200.0,1
4.2K,24000.0,-1
5.3K,-,-751
6.0K,-,125
5.9K,32400.0,-3
9.6K,44400.0,-3
13.1K,205000.0,6
6.6K,31800.0,-7
14.3K,140000.0,7
7.1K,49000.0,-2
9.5K,59300.0,2
7.1K,63900.0,1
5.6K,-,879
