Month,Peak,Average
12/2023,247,2
11/2023,192,1
10/2023,707,3
09/2023,897,8
08/2023,12100,21
07/2023,7300,10
06/2023,242,3
05/2023,2800,16
04/2023,1800,6
03/2023,5300,33
02/2023,3300,13
01/2023,13100,34
12/2022,302,3
11/2022,681,5
10/2022,13800,31
09/2022,6700,9
08/2022,13400,27
07/2022,1800,13
06/2022,14400,30
05/2022,20100,147
04/2022,21900,65
03/2022,26200,47
02/2022,35400,132
01/2022,32900,55
12/2021,5100,6
11/2021,1900,8
10/2021,2600,34
09/2021,11000,56
08/2021,3200,25
07/2021,519,5
06/2021,8900,36
05/2021,3900,24
04/2021,2800,12
03/2021,2500,14
02/2021,6800,41
01/2021,5800,70
12/2020,6100,75
