Month,Peak,Average
12/2023,15600.0,1500.0
11/2023,36200.0,2500.0
10/2023,34200.0,1600.0
09/2023,6400.0,1200.0
08/2023,3200.0,1200.0
07/2023,13800.0,1500.0
06/2023,12800.0,1600.0
05/2023,21600.0,1600.0
04/2023,11400.0,2000.0
03/2023,16200.0,1400.0
02/2023,5400.0,1300.0
01/2023,4300.0,1200.0
12/2022,4800.0,1300.0
11/2022,17100.0,2600.0
10/2022,16300.0,1600.0
09/2022,16800.0,2300.0
08/2022,3000.0,1100.0
07/2022,4100.0,1200.0
06/2022,4900.0,1400.0
05/2022,15800.0,1300.0
04/2022,21500.0,1600.0
03/2022,6200.0,1200.0
02/2022,33800.0,912.0
01/2022,4200.0,943.0
12/2021,10300.0,1400.0
11/2021,6300.0,899.0
10/2021,10500.0,1100.0
09/2021,8700.0,1000.0
08/2021,7600.0,930.0
07/2021,10000.0,844.0
06/2021,9000.0,978.0
05/2021,5800.0,939.0
04/2021,7000.0,1000.0
03/2021,12000.0,1600.0
02/2021,15100.0,1200.0
01/2021,17900.0,1100.0
12/2020,23900.0,2100.0
