Month,Peak,Average
12/2023,18300.0,3200.0
11/2023,15800.0,2900.0
10/2023,17700.0,2900.0
09/2023,11800.0,2300.0
08/2023,11300.0,2400.0
07/2023,15300.0,1700.0
06/2023,53100.0,393.0
05/2023,24300.0,250.0
04/2023,37100.0,247.0
03/2023,36500.0,232.0
02/2023,41400.0,287.0
01/2023,188000.0,918.0
12/2022,13300.0,281.0
11/2022,36100.0,297.0
10/2022,73600.0,416.0
09/2022,8100.0,172.0
08/2022,47000.0,224.0
07/2022,30700.0,217.0
06/2022,47200.0,313.0
05/2022,35000.0,358.0
04/2022,34800.0,318.0
03/2022,26000.0,267.0
02/2022,81000.0,667.0
01/2022,82900.0,624.0
12/2021,252000.0,775.0
11/2021,21300.0,318.0
10/2021,92100.0,748.0
09/2021,53100.0,872.0
08/2021,44000.0,814.0
07/2021,50100.0,655.0
06/2021,30400.0,457.0
05/2021,68500.0,567.0
04/2021,150000.0,758.0
03/2021,74800.0,1300.0
02/2021,57000.0,1600.0
01/2021,31100.0,598.0
12/2020,81300.0,547.0
