Month,Peak,Average
12/2023,40400.0,1900.0
11/2023,98200.0,3400.0
10/2023,99700.0,3000.0
09/2023,176000.0,3400.0
08/2023,241000.0,3600.0
07/2023,85000.0,3400.0
06/2023,116000.0,3900.0
05/2023,90800.0,3400.0
04/2023,152000.0,4000.0
03/2023,78900.0,3500.0
02/2023,64400.00000000001,2900.0
01/2023,138000.0,1200.0
12/2022,130000.0,4700.0
11/2022,205000.0,5400.0
10/2022,122000.0,3600.0
09/2022,101000.0,4400.0
08/2022,257000.0,6000.0
07/2022,173000.0,7000.0
06/2022,193000.0,9400.0
05/2022,187000.0,6500.0
04/2022,131000.0,6300.0
03/2022,168000.0,5700.0
02/2022,92100.0,5100.0
01/2022,147000.0,7200.0
12/2021,295000.0,7700.0
11/2021,408000.0,11800.0
10/2021,98700.0,5300.0
09/2021,108000.0,6600.0
08/2021,211000.0,7600.0
07/2021,114000.0,5800.0
06/2021,100000.0,10000.0
05/2021,236000.0,14700.0
04/2021,371000.0,27000.0
03/2021,681000.0,23300.0
02/2021,332000.0,29100.0
01/2021,269000.0,42100.0
12/2020,499000.0,67700.0
11/2020,774000.0,107000.0
10/2020,754000.0,147000.0
09/2020,743000.0,204000.0
08/2020,267000.0,41100.0
07/2020,88300.0,5600.0
06/2020,7000.0,171.0
05/2020,27500.0,451.0
04/2020,3800.0,160.0
03/2020,16700.0,118.0
02/2020,2400.0,84.0
01/2020,2800.0,78.0
12/2019,1200.0,29.0
11/2019,2100.0,24.0
10/2019,523.0,15.0
09/2019,6000.0,47.0
08/2019,26400.0,122.0
07/2019,2000.0,32.0
06/2019,259.0,9.0
05/2019,11.0,1.0
04/2019,68.0,3.0
03/2019,7.0,1.0
02/2019,3.0,1.0
01/2019,4400.0,308.0
12/2018,455.0,66.0
11/2018,7400.0,1600.0
