Month,Peak,Average
12/2023,2000.0,126.0
11/2023,3000.0,242.0
10/2023,1000.0,99.0
09/2023,1000.0,132.0
08/2023,1600.0,314.0
07/2023,4200.0,281.0
06/2023,4200.0,130.0
05/2023,4900.0,52.0
04/2023,2200.0,157.0
03/2023,2400.0,178.0
02/2023,3000.0,282.0
01/2023,2300.0,549.0
12/2022,840.0,71.0
11/2022,3500.0,62.0
10/2022,294.0,56.0
09/2022,1400.0,210.0
08/2022,11900.0,245.0
07/2022,2900.0,221.0
06/2022,1200.0,89.0
05/2022,11000.0,636.0
04/2022,8300.0,1500.0
03/2022,3000.0,693.0
02/2022,2100.0,208.0
01/2022,1900.0,418.0
12/2021,1300.0,142.0
11/2021,1600.0,142.0
10/2021,1400.0,165.0
09/2021,5800.0,267.0
08/2021,1100.0,86.0
07/2021,1800.0,267.0
06/2021,1900.0,203.0
05/2021,2200.0,338.0
04/2021,633.0,71.0
03/2021,5200.0,281.0
02/2021,639.0,45.0
01/2021,1400.0,128.0
