Month,Peak,Average
12/2023,7000.0,200.0
11/2023,9500.0,175.0
10/2023,5200.0,377.0
09/2023,9900.0,746.0
08/2023,9000.0,443.0
07/2023,41000.0,368.0
06/2023,11600.0,233.0
05/2023,26700.0,296.0
04/2023,15800.0,275.0
03/2023,15500.0,346.0
02/2023,18600.0,239.0
01/2023,67500.0,822.0
12/2022,29800.0,397.0
11/2022,5600.0,300.0
10/2022,10100.0,339.0
09/2022,24700.0,689.0
08/2022,60000.0,625.0
07/2022,13000.0,362.0
06/2022,16200.0,673.0
05/2022,94800.0,1000.0
04/2022,81700.0,677.0
03/2022,47000.0,351.0
02/2022,24600.0,547.0
01/2022,13400.0,929.0
12/2021,13300.0,627.0
11/2021,84000.0,976.0
10/2021,101000.0,2900.0
09/2021,83800.0,5100.0
08/2021,94700.0,3200.0
07/2021,24300.0,588.0
06/2021,35000.0,402.0
05/2021,50100.0,861.0
04/2021,60000.0,1400.0
03/2021,62400.0,4500.0
02/2021,63100.0,4900.0
01/2021,70900.0,9100.0
,,
,,
,,
,,
,,
07/2020,1900.0,24.0
