Month,Peak,Average
12/2023,2900.0,590.0
11/2023,40900.0,1200.0
10/2023,20300.0,720.0
09/2023,16500.0,695.0
08/2023,4900.0,507.0
07/2023,3000.0,445.0
06/2023,2200.0,453.0
05/2023,32700.000000000004,796.0
04/2023,17700.0,806.0
03/2023,7300.0,553.0
02/2023,4700.0,588.0
01/2023,3100.0,671.0
12/2022,24100.0,859.0
11/2022,14400.0,791.0
10/2022,15700.0,685.0
09/2022,6000.0,525.0
08/2022,6800.0,542.0
07/2022,4000.0,536.0
06/2022,39800.0,1600.0
05/2022,47600.0,1700.0
04/2022,23700.0,952.0
03/2022,21400.0,1300.0
02/2022,13900.0,788.0
01/2022,6700.0,872.0
12/2021,31800.0,1300.0
11/2021,6300.0,483.0
10/2021,6200.0,451.0
09/2021,3300.0,525.0
08/2021,6400.0,679.0
07/2021,8100.0,538.0
06/2021,4200.0,614.0
05/2021,20800.0,1000.0
04/2021,10700.0,1100.0
03/2021,13800.0,1000.0
02/2021,17300.0,944.0
01/2021,13900.0,958.0
12/2020,11300.0,743.0
