Month,Peak,Average
12/2023,295000.0,50000.0
11/2023,372000.0,61000.0
10/2023,544000.0,86700.0
09/2023,501000.0,62700.0
08/2023,584000.0,84900.0
07/2023,417000.0,81100.0
06/2023,451000.0,62100.0
05/2023,1080000.0,119000.0
04/2023,580000.0,113000.0
03/2023,883000.0,88900.0
02/2023,576000.0,82000.0
01/2023,324000.0,52300.0
12/2022,278000.0,41800.0
11/2022,1270000.0,121000.0
10/2022,681000.0,73700.0
09/2022,445000.0,80600.0
08/2022,314000.0,57000.0
07/2022,1150000.0,68300.0
06/2022,517000.0,78300.0
05/2022,1620000.0,126000.0
04/2022,430000.0,81800.0
03/2022,353000.0,75300.0
02/2022,974000.0,100000.0
01/2022,436000.0,53900.0
12/2021,526000.0,61100.0
11/2021,1910000.0,111000.0
10/2021,687000.0,94400.0
09/2021,727000.0,85400.0
08/2021,392000.0,67000.0
07/2021,725000.0,78700.0
06/2021,368000.0,77000.0
05/2021,551000.0,102000.0
04/2021,437000.0,97300.0
03/2021,483000.0,97200.0
02/2021,619000.0,101000.0
01/2021,593000.0,81900.0
12/2020,390000.0,81500.0
