Month,Peak,Average
12/2023,2400.0,103.0
11/2023,11500.0,401.0
10/2023,8700.0,258.0
09/2023,2800.0,156.0
08/2023,4100.0,137.0
07/2023,4300.0,311.0
06/2023,9700.0,577.0
05/2023,33200.0,1900.0
04/2023,14100.0,333.0
03/2023,1700.0,172.0
02/2023,8800.0,213.0
01/2023,14600.0,270.0
12/2022,5600.0,311.0
11/2022,4800.0,413.0
10/2022,12800.0,269.0
09/2022,16800.0,899.0
08/2022,7300.0,331.0
07/2022,15800.0,418.0
06/2022,15200.0,742.0
05/2022,4800.0,300.0
04/2022,21400.0,1200.0
03/2022,7000.0,506.0
02/2022,25400.0,2000.0
01/2022,8900.0,458.0
12/2021,10000.0,546.0
11/2021,5600.0,471.0
10/2021,3400.0,195.0
09/2021,2800.0,282.0
08/2021,10300.0,330.0
07/2021,2900.0,263.0
06/2021,5400.0,386.0
05/2021,4000.0,183.0
04/2021,7900.0,353.0
03/2021,7600.0,515.0
02/2021,13500.0,319.0
01/2021,17800.0,301.0
12/2020,18200.0,477.0
11/2020,6500.0,377.0
10/2020,31500.0,1200.0
09/2020,64800.0,10900.0
08/2020,34700.0,6500.0
