Month,Peak,Average
12/2023,41100.0,3500.0
11/2023,19200.0,2700.0
10/2023,88800.0,10800.0
09/2023,204000.0,18200.0
08/2023,30100.0,623.0
07/2023,3200.0,624.0
06/2023,12600.0,725.0
05/2023,4000.0,570.0
04/2023,32600.0,1300.0
03/2023,3400.0,459.0
02/2023,13200.0,536.0
01/2023,7700.0,1100.0
12/2022,26800.0,954.0
11/2022,23300.0,1400.0
10/2022,21800.0,3900.0
09/2022,68700.0,2900.0
08/2022,7300.0,621.0
07/2022,13800.0,1100.0
06/2022,8700.0,599.0
05/2022,3800.0,530.0
04/2022,13100.0,877.0
03/2022,11700.0,1200.0
02/2022,121000.0,1300.0
01/2022,10900.0,917.0
12/2021,5700.0,673.0
11/2021,18100.0,663.0
10/2021,20900.0,580.0
09/2021,9000.0,597.0
08/2021,27900.0,559.0
07/2021,4900.0,400.0
06/2021,8500.0,452.0
05/2021,5300.0,559.0
04/2021,31500.0,1300.0
03/2021,8500.0,780.0
02/2021,10900.0,1600.0
01/2021,32200.000000000004,4700.0
12/2020,1140000.0,85800.0
,,
,,
,,
,,
07/2020,1900.0,24.0
