Month,Peak,Average
12/2023,58100.0,6600.0
11/2023,31500.0,5000.0
10/2023,22200.0,6200.0
09/2023,284000.0,11800.0
08/2023,337000.0,8100.0
07/2023,21800.0,5900.0
06/2023,19800.0,5900.0
05/2023,79000.0,10500.0
04/2023,34000.0,11000.0
03/2023,516000.0,23800.0
02/2023,177000.0,11300.0
01/2023,21000.0,7800.0
12/2022,60500.0,8300.0
11/2022,16000.0,5100.0
10/2022,25300.0,8400.0
09/2022,47500.0,12100.0
08/2022,444000.0,15000.0
07/2022,33800.0,8700.0
06/2022,30300.0,8900.0
05/2022,58100.0,9600.0
04/2022,32700.0,9000.0
03/2022,362000.0,17400.0
02/2022,157000.0,14700.0
01/2022,33200.0,9600.0
12/2021,70900.0,10200.0
11/2021,37700.0,7600.0
10/2021,47100.0,10000.0
09/2021,46400.0,13400.0
08/2021,288000.0,10600.0
07/2021,93400.0,8900.0
06/2021,36500.0,9500.0
05/2021,231000.0,14800.0
04/2021,33600.0,9200.0
03/2021,36400.0,10100.0
02/2021,49200.0,11700.0
01/2021,22300.0,8600.0
12/2020,56900.0,10800.0
