Month,Peak,Average
12/2023,255000.0,47500.0
11/2023,134000.0,47000.0
10/2023,1060000.0,98500.0
09/2023,277000.0,54900.0
08/2023,200000.0,49600.0
07/2023,491000.0,76300.0
06/2023,230000.0,60700.0
05/2023,382000.0,67700.0
04/2023,265000.0,72400.0
03/2023,401000.0,66500.0
02/2023,319000.0,56000.0
01/2023,239000.0,58000.0
12/2022,143000.0,40900.0
11/2022,79800.0,37500.0
10/2022,1040000.0,113000.0
09/2022,286000.0,65900.0
08/2022,539000.0,76200.0
07/2022,338000.0,59400.0
06/2022,167000.0,55600.0
05/2022,442000.0,65700.0
04/2022,150000.0,52200.0
03/2022,185000.0,47000.0
02/2022,185000.0,54400.0
01/2022,219000.0,60000.0
12/2021,206000.0,58100.0
11/2021,229000.0,51500.0
10/2021,1710000.0,133000.0
09/2021,160000.0,48300.0
08/2021,217000.0,57400.0
07/2021,400000.0,57100.0
06/2021,365000.0,86500.0
05/2021,270000.0,65400.00000000001
04/2021,374000.0,69100.0
03/2021,231000.0,53700.0
02/2021,220000.0,57900.0
01/2021,151000.0,53200.0
