Month,Peak,Average
12/2023,7200.0,364.0
11/2023,2900.0,498.0
10/2023,12000.0,571.0
09/2023,10100.0,657.0
08/2023,2800.0,360.0
07/2023,4200.0,517.0
06/2023,1700.0,295.0
05/2023,2200.0,295.0
04/2023,19900.0,467.0
03/2023,7300.0,790.0
02/2023,10800.0,782.0
01/2023,4300.0,702.0
12/2022,69400.0,661.0
11/2022,6600.0,606.0
10/2022,5200.0,474.0
09/2022,2900.0,402.0
08/2022,6000.0,621.0
07/2022,5100.0,603.0
06/2022,4600.0,548.0
05/2022,5400.0,601.0
04/2022,9400.0,1100.0
03/2022,32900.0,596.0
02/2022,13200.0,415.0
01/2022,3800.0,389.0
12/2021,1500.0,331.0
11/2021,4200.0,341.0
10/2021,3600.0,452.0
09/2021,4400.0,437.0
08/2021,2400.0,469.0
07/2021,84200.0,657.0
06/2021,2800.0,323.0
05/2021,6200.0,460.0
04/2021,5800.0,451.0
03/2021,14000.0,701.0
02/2021,2100.0,336.0
01/2021,2600.0,397.0
12/2020,4500.0,478.0
