Month,Peak,Average
12/2023,2000.0,223.0
11/2023,5100.0,1100.0
10/2023,23200.0,732.0
09/2023,3300.0,177.0
08/2023,389.0,124.0
07/2023,796.0,115.0
06/2023,557.0,103.0
05/2023,3000.0,115.0
04/2023,764.0,136.0
03/2023,4400.0,123.0
02/2023,632.0,138.0
01/2023,1200.0,214.0
12/2022,5600.0,230.0
11/2022,4600.0,485.0
10/2022,36600.0,1700.0
09/2022,25900.0,803.0
08/2022,975.0,105.0
07/2022,4500.0,148.0
06/2022,1200.0,136.0
05/2022,864.0,145.0
04/2022,23600.0,773.0
03/2022,24200.0,300.0
02/2022,4600.0,262.0
01/2022,4700.0,260.0
12/2021,4500.0,335.0
11/2021,4200.0,391.0
10/2021,19800.0,3000.0
09/2021,29500.0,1200.0
08/2021,2300.0,131.0
07/2021,4500.0,335.0
06/2021,941.0,159.0
05/2021,2500.0,174.0
04/2021,3000.0,195.0
03/2021,23400.0,1100.0
02/2021,3300.0,108.0
01/2021,425.0,26.0
